Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Status
CA-198797,10/6/2024,5/1/2025,Second Class,CUST-4170,Ruben Ramirez,Home Office,South,Technology,Copiers,Virtual didactic synergy,2467.49,9,0.29,617.24,Profit
CA-233440,6/12/2023,5/5/2025,First Class,CUST-1196,Jesse Ortega,Home Office,Central,Furniture,Furnishings,Operative reciprocal projection,2751.66,1,0.09,922.14,Profit
CA-691533,4/18/2024,4/24/2025,Standard Class,CUST-2985,Kathryn Castro,Corporate,East,Furniture,Chairs,Multi-lateral incremental knowledge user,1199.66,9,0.03,220.44,Profit
CA-277218,11/2/2023,5/7/2025,First Class,CUST-2412,Sharon Taylor,Consumer,South,Office Supplies,Labels,Integrated bifurcated groupware,2335.57,6,0.3,620.16,Profit
CA-311967,7/15/2023,4/14/2025,First Class,CUST-3728,David Murillo,Corporate,South,Office Supplies,Binders,Re-contextualized human-resource benchmark,2540.88,5,0.03,258.06,Profit
CA-990541,9/20/2023,4/17/2025,Same Day,CUST-6746,Gabriel Donaldson,Home Office,East,Office Supplies,Storage,Programmable grid-enabled benchmark,1454.47,4,0.42,272.28,Profit
CA-500069,11/3/2024,5/8/2025,Standard Class,CUST-6658,Colleen Rose,Corporate,West,Office Supplies,Storage,Switchable secondary database,4381.97,2,0.37,749.22,Profit
CA-701472,8/12/2023,4/23/2025,First Class,CUST-4421,Grant Garcia,Home Office,East,Office Supplies,Storage,Public-key human-resource installation,1152.75,3,0.46,426.2,Profit
CA-670780,12/11/2024,4/28/2025,Second Class,CUST-8240,Mr. Robert Le Jr.,Home Office,South,Office Supplies,Storage,Customizable cohesive hierarchy,285.06,3,0.28,955.55,Profit
CA-497042,3/21/2025,4/17/2025,Second Class,CUST-8318,Ryan Alvarez,Corporate,South,Furniture,Furnishings,Stand-alone hybrid collaboration,1033.52,9,0.29,847.17,Profit
CA-438588,6/24/2024,5/4/2025,Second Class,CUST-6579,Jamie Clark,Consumer,Central,Furniture,Chairs,Open-source client-driven architecture,2116.64,4,0.42,612.47,Profit
CA-110647,11/27/2023,5/6/2025,First Class,CUST-5407,Mark Wright,Corporate,South,Office Supplies,Binders,User-centric intermediate infrastructure,1751.7,10,0.19,-76.33,Loss
CA-450439,9/23/2024,4/12/2025,First Class,CUST-2133,Tyler Flores,Home Office,Central,Office Supplies,Labels,Versatile secondary moratorium,3526.36,6,0.05,-71.16,Loss
CA-541703,8/10/2024,4/22/2025,First Class,CUST-4767,Ashley Harrington,Home Office,East,Office Supplies,Binders,Cross-platform impactful projection,137.02,10,0.35,797.67,Profit
CA-868444,12/31/2024,4/26/2025,Same Day,CUST-7568,Taylor Day,Consumer,South,Office Supplies,Paper,User-friendly composite productivity,2655.39,7,0.46,838.36,Profit
CA-243523,11/26/2023,5/4/2025,Standard Class,CUST-8297,Stephen Meza,Consumer,South,Furniture,Bookcases,User-centric zero administration contingency,3005.45,8,0.46,266.5,Profit
CA-542569,10/25/2024,4/18/2025,First Class,CUST-3337,Lauren Gonzalez,Home Office,Central,Furniture,Furnishings,Right-sized bandwidth-monitored application,3138.99,10,0.08,437.46,Profit
CA-556978,12/14/2023,4/30/2025,Standard Class,CUST-7804,Jessica Taylor,Consumer,South,Furniture,Chairs,Integrated actuating Graphical User Interface,1163.76,2,0.09,290.99,Profit
CA-999214,2/13/2025,4/22/2025,Standard Class,CUST-6138,Frank Butler,Home Office,East,Furniture,Chairs,Phased attitude-oriented workforce,4682.19,4,0.49,242.15,Profit
CA-947973,1/5/2025,5/5/2025,Standard Class,CUST-1524,Robin Martinez,Corporate,West,Office Supplies,Binders,Versatile intangible matrices,3906.76,7,0.37,845.27,Profit
CA-431867,9/2/2023,5/7/2025,First Class,CUST-3050,Katherine Rodriguez,Corporate,Central,Technology,Copiers,Balanced web-enabled utilization,3509.53,6,0.39,982.2,Profit
CA-673639,12/8/2024,5/6/2025,Standard Class,CUST-9800,Monica Williams,Consumer,South,Furniture,Tables,Diverse zero-defect monitoring,2670.44,10,0.4,570.83,Profit
CA-129071,6/15/2024,4/23/2025,Same Day,CUST-9684,Ashley James DDS,Home Office,East,Technology,Accessories,Ameliorated scalable Internet solution,2928.51,9,0.22,112.74,Profit
CA-216070,1/21/2025,4/12/2025,Same Day,CUST-9869,Kathleen Allen,Corporate,East,Furniture,Furnishings,Optional background algorithm,840.44,3,0.2,957.64,Profit
CA-758620,7/10/2024,4/25/2025,Standard Class,CUST-7646,Ashley Wilkerson,Consumer,Central,Technology,Accessories,Devolved cohesive Internet solution,1289.46,3,0.35,-3.03,Loss
CA-313149,11/25/2023,4/24/2025,Same Day,CUST-6363,Lori Bradford,Consumer,Central,Office Supplies,Labels,Programmable impactful access,2161.67,1,0.41,84.45,Profit
CA-893613,3/27/2025,5/4/2025,Same Day,CUST-4737,Brenda Newman,Corporate,Central,Office Supplies,Paper,Right-sized hybrid policy,1452.81,10,0.14,382.61,Profit
CA-616111,7/16/2024,4/30/2025,Standard Class,CUST-2965,Anthony Lamb,Consumer,East,Furniture,Chairs,Enhanced systematic installation,4572.12,3,0.01,430.18,Profit
CA-930209,11/13/2024,4/15/2025,Same Day,CUST-2863,Mr. Brad Price,Corporate,East,Technology,Copiers,Automated uniform info-me diaries,2518.96,8,0.25,515.5,Profit
CA-522549,7/21/2024,4/24/2025,First Class,CUST-4773,Valerie Ellis,Home Office,Central,Office Supplies,Art,Digitized directional Local Area Network,1235.87,10,0.4,183.41,Profit
CA-844927,5/10/2023,4/21/2025,Same Day,CUST-5259,Taylor Jensen,Home Office,East,Office Supplies,Art,Profound executive firmware,379.77,7,0.05,75.01,Profit
CA-419746,3/14/2025,4/11/2025,Second Class,CUST-5622,Jennifer Floyd,Consumer,West,Furniture,Furnishings,Organized reciprocal portal,2706.93,9,0.13,244.28,Profit
CA-651123,5/4/2024,4/29/2025,Same Day,CUST-5600,Jessica Owens,Consumer,West,Technology,Phones,Universal 6thgeneration circuit,228.36,7,0.08,-56,Loss
CA-722089,8/13/2024,4/28/2025,Second Class,CUST-6388,Jimmy Macdonald,Corporate,South,Office Supplies,Labels,Self-enabling static adapter,4569,5,0.01,-50.27,Loss
CA-583454,2/11/2024,4/12/2025,Standard Class,CUST-2342,Timothy Hayes,Corporate,West,Furniture,Chairs,Optional user-facing model,1761.26,3,0.21,-18.53,Loss
CA-494199,6/1/2023,5/6/2025,Standard Class,CUST-5349,Laurie Richards DDS,Consumer,South,Office Supplies,Art,Up-sized stable customer loyalty,2735.49,7,0.24,108.25,Profit
CA-191307,7/10/2023,5/7/2025,Second Class,CUST-4475,Rebecca Stewart,Corporate,Central,Technology,Accessories,Integrated upward-trending intranet,3195.43,4,0.46,205.95,Profit
